187,207,12,7.99579
187,206,16,8.47155
207,227,28,6.65363
187,186,29,3.4475
207,228,33,6.96585
207,208,34,4.65548
207,226,45,4.32781
228,248,47,7.3059
228,247,48,9.4657
187,188,55,1.79429
186,167,61,5.18071
248,268,63,6.91981
186,166,64,3.25922
248,269,65,9.1087
248,249,66,5.99354
186,185,73,2.489
269,288,74,15.939
186,205,79,3.05533
288,289,80,18.4525
248,267,85,3.98906
248,229,89,3.5427
186,165,89,2.54268
289,308,96,9.40485
187,168,97,1.57011
289,309,102,4.56993
165,184,118,4.93875
165,164,119,3.39225
166,146,120,1.79457
165,145,124,3.26369
309,310,129,4.09424
309,290,130,5.50185
309,329,131,3.75422
166,147,132,2.31099
228,209,133,1.62124
309,328,134,4.69391
164,144,136,6.22911
226,246,137,1.1793
309,330,144,3.58048
164,163,147,3.69503
164,143,151,4.47641
289,270,152,2.10504
206,225,153,1.13373
164,183,158,3.64184
329,349,165,2.97634
267,287,166,1.28112
167,148,171,1.36579
143,162,172,6.89621
329,350,173,3.39815
329,348,175,3.22975
143,142,177,3.85221
145,125,177,1.89287
146,126,178,1.72663
