ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
152,1508,92,0,0.943,0.058,0.000
153,1428,172,0,0.892,0.107,0.000
154,1187,413,0,0.742,0.258,0.000
155,1482,118,0,0.926,0.074,0.000
156,880,720,0,0.550,0.450,0.000
157,1420,180,0,0.887,0.113,0.000
158,1599,1,0,0.999,0.001,0.000
159,1490,110,0,0.931,0.069,0.000
160,1543,57,0,0.964,0.036,0.000
161,1456,144,0,0.910,0.090,0.000
162,1094,506,0,0.684,0.316,0.000
163,1547,53,0,0.967,0.033,0.000
164,1060,540,0,0.662,0.338,0.000
165,1271,329,0,0.794,0.206,0.000
166,1600,0,0,1.000,0.000,0.000
167,1167,433,0,0.729,0.271,0.000
168,1208,392,0,0.755,0.245,0.000
169,936,664,0,0.585,0.415,0.000
170,1468,132,0,0.917,0.083,0.000
171,1260,340,0,0.787,0.212,0.000
172,1301,299,0,0.813,0.187,0.000
173,1599,1,0,0.999,0.001,0.000
174,1155,445,0,0.722,0.278,0.000
175,905,695,0,0.566,0.434,0.000
176,1211,389,0,0.757,0.243,0.000
177,1248,352,0,0.780,0.220,0.000
178,1431,169,0,0.894,0.106,0.000
179,572,1028,0,0.357,0.642,0.000
180,971,629,0,0.607,0.393,0.000
181,1260,340,0,0.787,0.212,0.000
182,1465,135,0,0.916,0.084,0.000
183,1188,412,0,0.743,0.258,0.000
184,1208,392,0,0.755,0.245,0.000
185,1527,73,0,0.954,0.046,0.000
186,1029,571,0,0.643,0.357,0.000
187,1600,0,0,1.000,0.000,0.000
188,944,656,0,0.590,0.410,0.000
189,1116,484,0,0.698,0.302,0.000
190,1053,547,0,0.658,0.342,0.000
191,1403,197,0,0.877,0.123,0.000
192,1460,140,0,0.912,0.087,0.000
193,994,606,0,0.621,0.379,0.000
194,1417,183,0,0.886,0.114,0.000
195,1118,482,0,0.699,0.301,0.000
196,1364,236,0,0.853,0.147,0.000
197,1255,345,0,0.784,0.216,0.000
198,1253,347,0,0.783,0.217,0.000
199,1131,469,0,0.707,0.293,0.000
200,1042,558,0,0.651,0.349,0.000
201,1027,573,0,0.642,0.358,0.000
202,1168,432,0,0.730,0.270,0.000
203,1142,458,0,0.714,0.286,0.000
204,1043,557,0,0.652,0.348,0.000
205,974,626,0,0.609,0.391,0.000
206,1042,558,0,0.651,0.349,0.000
207,913,687,0,0.571,0.429,0.000
208,1310,290,0,0.819,0.181,0.000
209,1433,167,0,0.896,0.104,0.000
210,1359,241,0,0.849,0.151,0.000
211,1527,73,0,0.954,0.046,0.000
212,1160,440,0,0.725,0.275,0.000
213,1471,129,0,0.919,0.081,0.000
