0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.027 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.088 0.134 0.139 0.144 0.148 0.156 0.162 0.166 0.170 0.175
0.002 0.003 0.000 0.000 0.004 0.020 0.000 0.000 0.000 0.000 0.033 0.039 0.041 0.038 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.134 0.146 0.155 0.160 0.173 0.180 0.180 0.186 0.193
0.004 0.007 0.007 0.009 0.000 0.000 0.028 0.022 0.025 0.032 0.038 0.044 0.048 0.052 0.050 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000 0.000 0.000 0.132 0.153 0.165 0.173 0.187 0.196 0.194 0.201 0.205
0.005 0.009 0.009 0.009 0.018 0.037 0.041 0.038 0.031 0.034 0.042 0.054 0.054 0.058 0.062 0.059 0.058 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.000 0.000 0.000 0.109 0.161 0.170 0.178 0.185 0.201 0.212 0.222 0.219 0.219
0.004 0.009 0.009 0.009 0.012 0.037 0.050 0.046 0.038 0.040 0.042 0.054 0.065 0.066 0.065 0.071 0.072 0.071 0.070 0.090 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.000 0.000 0.116 0.163 0.180 0.189 0.199 0.213 0.225 0.237 0.241 0.240
0.002 0.010 0.009 0.010 0.013 0.019 0.053 0.059 0.054 0.042 0.048 0.058 0.063 0.074 0.076 0.077 0.084 0.084 0.085 0.103 0.079 0.022 0.000 0.000 0.000 0.000 0.000 0.002 0.000 0.000 0.162 0.172 0.186 0.203 0.212 0.225 0.242 0.255 0.255 0.257
0.021 0.019 0.016 0.013 0.016 0.017 0.026 0.067 0.066 0.057 0.052 0.067 0.067 0.075 0.087 0.090 0.097 0.096 0.096 0.120 0.100 0.035 0.000 0.000 0.000 0.000 0.002 0.010 0.000 0.164 0.165 0.180 0.195 0.244 0.252 0.248 0.258 0.271 0.269 0.270
0.027 0.025 0.020 0.019 0.020 0.024 0.031 0.048 0.074 0.071 0.065 0.066 0.079 0.077 0.085 0.099 0.104 0.111 0.115 0.138 0.118 0.017 0.003 0.000 0.000 0.000 0.004 0.038 0.000 0.000 0.209 0.222 0.219 0.264 0.273 0.266 0.275 0.286 0.287 0.288
0.031 0.035 0.034 0.030 0.031 0.030 0.046 0.052 0.064 0.075 0.075 0.076 0.090 0.099 0.100 0.107 0.114 0.119 0.145 0.170 0.000 0.000 0.000 0.038 0.000 0.000 0.000 0.046 0.000 0.201 0.217 0.232 0.266 0.287 0.292 0.296 0.292 0.305 0.306 0.313
0.044 0.047 0.049 0.050 0.049 0.049 0.052 0.056 0.061 0.071 0.078 0.084 0.092 0.104 0.112 0.118 0.125 0.136 0.164 0.238 0.277 0.306 0.340 0.000 0.000 0.000 0.000 0.065 0.000 0.211 0.232 0.258 0.281 0.307 0.314 0.319 0.304 0.331 0.334 0.321
0.054 0.054 0.056 0.058 0.061 0.060 0.062 0.067 0.072 0.079 0.090 0.098 0.111 0.123 0.134 0.139 0.150 0.163 0.187 0.316 0.340 0.356 0.373 0.388 0.406 0.419 0.000 0.000 0.189 0.221 0.256 0.282 0.311 0.339 0.346 0.351 0.357 0.363 0.347 0.331
0.075 0.073 0.066 0.066 0.069 0.068 0.067 0.071 0.077 0.085 0.095 0.106 0.117 0.126 0.136 0.146 0.151 0.155 0.158 0.000 0.347 0.376 0.399 0.420 0.432 0.444 0.451 0.000 0.181 0.210 0.000 0.310 0.339 0.370 0.378 0.384 0.393 0.385 0.372 0.352
0.079 0.082 0.085 0.083 0.084 0.082 0.079 0.082 0.088 0.096 0.106 0.118 0.128 0.139 0.153 0.167 0.181 0.000 0.000 0.000 0.000 0.000 0.434 0.443 0.458 0.470 0.472 0.000 0.000 0.000 0.000 0.337 0.374 0.404 0.410 0.414 0.408 0.400 0.392 0.380
0.081 0.087 0.087 0.089 0.090 0.095 0.100 0.101 0.105 0.115 0.126 0.141 0.154 0.169 0.185 0.202 0.219 0.227 0.246 0.278 0.306 0.437 0.457 0.465 0.480 0.491 0.497 0.497 0.000 0.000 0.000 0.359 0.407 0.435 0.440 0.433 0.423 0.415 0.404 0.394
0.087 0.087 0.093 0.095 0.105 0.107 0.114 0.122 0.119 0.128 0.139 0.152 0.174 0.192 0.205 0.222 0.239 0.255 0.278 0.337 0.367 0.469 0.000 0.487 0.501 0.516 0.518 0.518 0.000 0.000 0.000 0.430 0.460 0.466 0.458 0.449 0.440 0.430 0.420 0.407
0.090 0.091 0.097 0.105 0.111 0.112 0.116 0.124 0.128 0.136 0.149 0.167 0.186 0.205 0.216 0.236 0.250 0.266 0.293 0.355 0.410 0.488 0.502 0.512 0.526 0.541 0.542 0.542 0.000 0.000 0.000 0.000 0.498 0.488 0.478 0.468 0.457 0.443 0.432 0.419
0.093 0.095 0.102 0.000 0.111 0.116 0.117 0.128 0.137 0.144 0.155 0.176 0.197 0.212 0.229 0.246 0.263 0.282 0.306 0.377 0.439 0.542 0.000 0.000 0.538 0.558 0.560 0.560 0.557 0.000 0.000 0.529 0.520 0.507 0.497 0.484 0.473 0.461 0.449 0.433
0.100 0.100 0.106 0.108 0.110 0.115 0.117 0.130 0.143 0.151 0.162 0.178 0.199 0.219 0.235 0.255 0.274 0.295 0.321 0.383 0.439 0.535 0.556 0.000 0.000 0.572 0.577 0.576 0.571 0.564 0.555 0.546 0.536 0.527 0.513 0.499 0.485 0.472 0.461 0.448
0.103 0.103 0.107 0.108 0.109 0.114 0.118 0.129 0.149 0.156 0.167 0.181 0.202 0.220 0.238 0.261 0.282 0.297 0.322 0.354 0.411 0.533 0.573 0.583 0.000 0.587 0.591 0.587 0.582 0.574 0.567 0.558 0.546 0.535 0.522 0.508 0.495 0.480 0.469 0.455
0.102 0.106 0.111 0.106 0.103 0.110 0.117 0.126 0.155 0.169 0.177 0.186 0.204 0.223 0.239 0.262 0.282 0.299 0.322 0.344 0.406 0.476 0.580 0.596 0.595 0.599 0.599 0.596 0.593 0.586 0.575 0.567 0.554 0.542 0.530 0.517 0.489 0.471 0.458 0.447
0.104 0.107 0.112 0.110 0.107 0.111 0.121 0.132 0.157 0.175 0.189 0.207 0.222 0.231 0.246 0.268 0.283 0.302 0.322 0.341 0.406 0.452 0.581 0.603 0.597 0.604 0.606 0.602 0.596 0.588 0.581 0.570 0.557 0.545 0.533 0.522 0.481 0.464 0.464 0.460
0.099 0.105 0.110 0.110 0.111 0.114 0.123 0.132 0.146 0.175 0.195 0.214 0.231 0.239 0.254 0.274 0.290 0.310 0.330 0.353 0.403 0.477 0.588 0.601 0.594 0.603 0.607 0.602 0.597 0.590 0.580 0.569 0.556 0.545 0.534 0.524 0.498 0.479 0.467 0.453
