Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,1599.038,0.962,0.000,0.192,0.000,1600,1,1599,0,0.999,0.001,0.000
2,1537.761,62.239,0.000,82.575,0.000,1600,1063,537,0,0.961,0.039,0.000
3,1392.818,207.182,0.000,195.230,0.000,1599,1397,203,1,0.871,0.129,0.000
4,1236.741,363.259,0.000,267.823,0.000,1599,1425,175,1,0.773,0.227,0.000
