fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
C2,,,,,51.621244,-115.608378,2138.0,,,,,16.0,342.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2144.0,,,,,24.0,324.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2163.0,,,,,32.0,308.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2198.0,,,,,41.0,298.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2234.0,,,,,42.0,305.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2259.0,,,,,44.0,315.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2290.0,,,,,45.0,312.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2335.0,,,,,19.0,45.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2166.0,,,,,40.0,345.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2188.0,,,,,52.0,335.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2207.0,,,,,60.0,334.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2231.0,,,,,67.0,327.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2284.0,,,,,69.0,325.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2323.0,,,,,66.0,329.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2366.0,,,,,47.0,338.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2363.0,,,,,44.0,65.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2211.0,,,,,61.0,346.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2241.0,,,,,69.0,335.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2277.0,,,,,72.0,335.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2312.0,,,,,68.0,332.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2348.0,,,,,53.0,327.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2379.0,,,,,32.0,318.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2394.0,,,,,5.0,33.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2364.0,,,,,58.0,97.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2284.0,,,,,60.0,347.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2314.0,,,,,55.0,334.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2341.0,,,,,40.0,328.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2364.0,,,,,24.0,315.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2374.0,,,,,11.0,272.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2372.0,,,,,13.0,207.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2372.0,,,,,24.0,142.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2338.0,,,,,67.0,111.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2334.0,,,,,15.0,334.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2345.0,,,,,11.0,286.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2347.0,,,,,11.0,221.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2346.0,,,,,17.0,198.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2347.0,,,,,19.0,190.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2351.0,,,,,17.0,188.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2355.0,,,,,27.0,132.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2313.0,,,,,72.0,109.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2319.0,,,,,16.0,185.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2319.0,,,,,18.0,189.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2322.0,,,,,18.0,191.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2328.0,,,,,15.0,195.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2333.0,,,,,14.0,199.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2339.0,,,,,13.0,191.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2339.0,,,,,28.0,122.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2285.0,,,,,73.0,103.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2304.0,,,,,12.0,183.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2306.0,,,,,12.0,193.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2310.0,,,,,12.0,202.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2316.0,,,,,12.0,203.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2321.0,,,,,13.0,202.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2326.0,,,,,12.0,187.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2323.0,,,,,26.0,115.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2277.0,,,,,67.0,95.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2293.0,,,,,30.0,184.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2296.0,,,,,27.0,193.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2300.0,,,,,21.0,200.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2304.0,,,,,17.0,200.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2308.0,,,,,15.0,201.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2314.0,,,,,12.0,191.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2312.0,,,,,22.0,114.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2273.0,,,,,61.0,94.0,,,0.8,,20,
