Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-07-2017 16:00,0,28.9,18.8,0,0,93.4,48.91,254.04,11.31,66.04,27.87
JCB,07-07-2017 17:00,0,27.9,18.9,0,0,93.4,48.91,254.04,11.62,66.04,28.39
JCB,07-07-2017 18:00,0,25.8,23.0,0,0,93.4,48.91,254.04,10.74,66.04,26.9
JCB,07-07-2017 19:00,0,26.4,28.3,0,0,93.4,48.91,254.04,11.11,66.04,27.54
