,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000
mean,2500.500,267.619,132.381,0.000,0.669,0.331,0.000
std,1443.520,48.457,48.457,0.000,0.121,0.121,0.000
min,1.000,72.000,42.000,0.000,0.180,0.105,0.000
25%,1250.750,242.000,96.000,0.000,0.605,0.240,0.000
50%,2500.500,274.000,126.000,0.000,0.685,0.315,0.000
75%,3750.250,304.000,158.000,0.000,0.760,0.395,0.000
max,5000.000,358.000,328.000,0.000,0.895,0.820,0.000
