ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
159,254,146,0,0.635,0.365,0.000
160,328,72,0,0.820,0.180,0.000
161,332,68,0,0.830,0.170,0.000
162,326,74,0,0.815,0.185,0.000
163,303,97,0,0.757,0.242,0.000
164,318,82,0,0.795,0.205,0.000
165,327,73,0,0.818,0.182,0.000
166,262,138,0,0.655,0.345,0.000
167,304,96,0,0.760,0.240,0.000
168,314,86,0,0.785,0.215,0.000
169,333,67,0,0.833,0.168,0.000
170,316,84,0,0.790,0.210,0.000
171,328,72,0,0.820,0.180,0.000
172,317,83,0,0.792,0.207,0.000
173,304,96,0,0.760,0.240,0.000
174,317,83,0,0.792,0.207,0.000
175,332,68,0,0.830,0.170,0.000
176,263,137,0,0.657,0.343,0.000
177,329,71,0,0.823,0.177,0.000
178,253,147,0,0.632,0.367,0.000
179,303,97,0,0.757,0.242,0.000
180,321,79,0,0.802,0.198,0.000
181,322,78,0,0.805,0.195,0.000
182,320,80,0,0.800,0.200,0.000
183,290,110,0,0.725,0.275,0.000
184,318,82,0,0.795,0.205,0.000
185,332,68,0,0.830,0.170,0.000
186,316,84,0,0.790,0.210,0.000
187,322,78,0,0.805,0.195,0.000
188,325,75,0,0.812,0.188,0.000
189,326,74,0,0.815,0.185,0.000
190,326,74,0,0.815,0.185,0.000
191,299,101,0,0.748,0.253,0.000
192,281,119,0,0.703,0.297,0.000
193,329,71,0,0.823,0.177,0.000
194,304,96,0,0.760,0.240,0.000
195,336,64,0,0.840,0.160,0.000
196,316,84,0,0.790,0.210,0.000
197,306,94,0,0.765,0.235,0.000
198,338,62,0,0.845,0.155,0.000
199,322,78,0,0.805,0.195,0.000
200,337,63,0,0.843,0.158,0.000
201,320,80,0,0.800,0.200,0.000
202,313,87,0,0.782,0.217,0.000
203,318,82,0,0.795,0.205,0.000
204,296,104,0,0.740,0.260,0.000
205,303,97,0,0.757,0.242,0.000
206,325,75,0,0.812,0.188,0.000
207,312,88,0,0.780,0.220,0.000
208,320,80,0,0.800,0.200,0.000
209,265,135,0,0.662,0.338,0.000
210,317,83,0,0.792,0.207,0.000
211,290,110,0,0.725,0.275,0.000
212,334,66,0,0.835,0.165,0.000
213,290,110,0,0.725,0.275,0.000
214,300,100,0,0.750,0.250,0.000
215,318,82,0,0.795,0.205,0.000
216,318,82,0,0.795,0.205,0.000
217,317,83,0,0.792,0.207,0.000
218,332,68,0,0.830,0.170,0.000
219,332,68,0,0.830,0.170,0.000
220,304,96,0,0.760,0.240,0.000
221,326,74,0,0.815,0.185,0.000
222,319,81,0,0.797,0.203,0.000
223,324,76,0,0.810,0.190,0.000
224,327,73,0,0.818,0.182,0.000
225,281,119,0,0.703,0.297,0.000
226,327,73,0,0.818,0.182,0.000
227,265,135,0,0.662,0.338,0.000
228,303,97,0,0.757,0.242,0.000
229,326,74,0,0.815,0.185,0.000
230,303,97,0,0.757,0.242,0.000
231,318,82,0,0.795,0.205,0.000
232,325,75,0,0.812,0.188,0.000
233,281,119,0,0.703,0.297,0.000
234,284,116,0,0.710,0.290,0.000
235,332,68,0,0.830,0.170,0.000
236,313,87,0,0.782,0.217,0.000
237,322,78,0,0.805,0.195,0.000
238,266,134,0,0.665,0.335,0.000
239,306,94,0,0.765,0.235,0.000
240,265,135,0,0.662,0.338,0.000
241,328,72,0,0.820,0.180,0.000
242,325,75,0,0.812,0.188,0.000
243,304,96,0,0.760,0.240,0.000
244,265,135,0,0.662,0.338,0.000
245,303,97,0,0.757,0.242,0.000
246,321,79,0,0.802,0.198,0.000
247,322,78,0,0.805,0.195,0.000
248,296,104,0,0.740,0.260,0.000
249,253,147,0,0.632,0.367,0.000
250,336,64,0,0.840,0.160,0.000
251,296,104,0,0.740,0.260,0.000
252,327,73,0,0.818,0.182,0.000
253,318,82,0,0.795,0.205,0.000
254,327,73,0,0.818,0.182,0.000
255,326,74,0,0.815,0.185,0.000
256,336,64,0,0.840,0.160,0.000
257,296,104,0,0.740,0.260,0.000
258,317,83,0,0.792,0.207,0.000
259,312,88,0,0.780,0.220,0.000
260,322,78,0,0.805,0.195,0.000
261,325,75,0,0.812,0.188,0.000
262,327,73,0,0.818,0.182,0.000
263,327,73,0,0.818,0.182,0.000
264,322,78,0,0.805,0.195,0.000
265,306,94,0,0.765,0.235,0.000
266,322,78,0,0.805,0.195,0.000
267,337,63,0,0.843,0.158,0.000
268,300,100,0,0.750,0.250,0.000
