,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,500.000,500.000,500.000,500.000,500.000,500.000,500.000
mean,250.500,312.230,87.770,0.000,0.781,0.219,0.000
std,144.482,20.892,20.892,0.000,0.052,0.052,0.000
min,1.000,242.000,62.000,0.000,0.605,0.155,0.000
25%,125.750,303.000,74.000,0.000,0.757,0.185,0.000
50%,250.500,319.000,81.000,0.000,0.797,0.203,0.000
75%,375.250,326.000,97.000,0.000,0.815,0.242,0.000
max,500.000,338.000,158.000,0.000,0.845,0.395,0.000
