0.042 0.052 0.050 0.076 0.094 0.116 0.136 0.154 0.120 0.042 0.010 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.056 0.066 0.086 0.134 0.148 0.210 0.298 0.258 0.192 0.054 0.032 0.010 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.068 0.096 0.150 0.164 0.266 0.340 0.490 0.470 0.342 0.108 0.078 0.032 0.010 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.094 0.144 0.180 0.264 0.346 0.586 0.620 0.592 0.436 0.166 0.102 0.090 0.056 0.010 0.000 0.000 0.000 0.000 0.000 0.000
0.118 0.170 0.208 0.304 0.400 0.668 0.676 0.674 0.528 0.196 0.146 0.102 0.090 0.032 0.010 0.000 0.000 0.000 0.000 0.000
0.112 0.184 0.264 0.368 0.446 0.748 0.766 0.746 0.588 0.222 0.154 0.136 0.102 0.068 0.022 0.010 0.000 0.000 0.000 0.000
0.128 0.232 0.320 0.418 0.536 0.908 0.946 0.856 0.680 0.134 0.182 0.162 0.110 0.102 0.068 0.022 0.010 0.000 0.000 0.000
0.152 0.224 0.328 0.402 0.524 0.950 1.000 1.000 0.830 0.104 0.126 0.142 0.162 0.110 0.102 0.056 0.010 0.010 0.000 0.000
0.108 0.212 0.290 0.376 0.468 0.992 1.000 1.000 1.000 0.124 0.100 0.092 0.126 0.134 0.110 0.090 0.056 0.010 0.010 0.000
0.028 0.066 0.160 0.272 0.396 1.000 1.000 1.000 1.000 0.242 0.078 0.090 0.100 0.104 0.118 0.110 0.068 0.032 0.010 0.000
0.000 0.008 0.008 0.082 0.190 0.842 1.000 1.000 1.000 0.518 0.044 0.056 0.078 0.100 0.092 0.096 0.110 0.068 0.022 0.010
0.000 0.000 0.000 0.000 0.000 0.132 1.000 1.000 1.000 0.906 0.032 0.044 0.056 0.066 0.082 0.092 0.084 0.068 0.056 0.010
0.000 0.000 0.000 0.000 0.000 0.000 0.854 1.000 1.000 1.000 0.032 0.032 0.032 0.044 0.056 0.070 0.074 0.084 0.068 0.056
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 0.024 0.024 0.024 0.032 0.044 0.056 0.058 0.074 0.076 0.068
0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 0.398 0.000 0.016 0.024 0.032 0.044 0.044 0.048 0.050 0.058
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.632 1.000 1.000 1.000 0.000 0.000 0.016 0.024 0.024 0.032 0.036 0.048 0.040
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 0.842 0.306 0.016 0.008 0.016 0.024 0.032 0.024 0.028
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 0.854 0.470 0.070 0.000 0.008 0.024 0.024 0.024
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.142 0.980 1.000 1.000 1.000 0.808 0.374 0.016 0.000 0.000 0.016 0.016
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.268 0.854 1.000 1.000 0.980 0.660 0.258 0.000 0.000 0.000 0.016
