Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,19-07-2014 0:00,0.0,18.0,60,20,226,91.11,95.63,343.87,5.43,112.82,21.83
JCB,19-07-2014 1:00,0.0,17.0,60,20,233,91.11,95.63,343.87,3.78,112.82,16.77
JCB,19-07-2014 2:00,0.0,14.0,60,20,95,91.11,95.63,343.87,3.7,112.82,16.48
