28,48,3,26.383
48,68,13,10.122
48,67,20,8.75907
68,87,25,12.0317
67,88,28,18.5265
28,49,30,4.59429
87,108,34,17.1302
88,107,40,12.6006
108,127,43,16.9782
107,128,49,15.7399
48,47,49,2.19475
127,148,52,15.9186
49,69,54,4.17412
128,147,58,17.4368
148,168,64,9.17612
148,167,65,12.8994
167,188,71,24.2648
188,208,76,20.7098
28,29,77,1.38604
168,187,81,8.68024
69,89,83,3.50433
208,228,85,11.6406
208,229,90,10.1445
228,249,91,25.982
28,27,96,1.11894
249,269,98,15.0202
229,248,99,16.0478
188,207,102,4.71378
188,209,103,4.43987
269,289,107,11.4598
249,268,110,7.83502
89,109,112,3.45396
87,106,112,1.71209
269,290,113,9.83514
168,189,115,2.81112
289,310,116,15.7861
107,126,117,1.89802
148,169,118,2.18381
290,309,119,24.571
67,86,120,1.48817
127,146,121,2.07815
310,329,127,13.9852
49,70,130,1.50746
329,330,131,28.0892
208,227,132,2.7825
108,129,132,1.52595
67,66,132,1.02957
128,149,135,1.73643
269,270,136,2.81579
70,90,140,10.6242
147,166,141,1.87043
70,91,143,11.4194
330,350,144,7.86397
330,351,145,10.4204
269,288,146,3.14591
330,331,147,6.60059
49,50,147,0.918041
91,112,149,27.6113
90,111,150,15.316
90,110,153,8.15776
111,132,155,31.4938
112,133,155,26.6195
351,372,156,13.2891
70,71,156,3.9389
167,186,156,1.66989
351,371,158,8.01693
133,154,160,29.2051
28,8,160,0.690811
132,153,161,26.139
110,131,161,19.6985
372,393,162,26.3897
71,92,162,25.7417
351,352,164,5.32084
330,349,164,4.40885
154,175,165,32.9222
153,174,166,28.5794
131,152,166,30.7491
229,250,166,1.91538
371,392,167,17.3459
110,130,167,7.33523
92,113,168,25.6127
330,311,168,3.82794
175,196,170,30.6203
352,373,170,26.4949
174,195,171,30.8165
152,173,172,28.0429
113,134,173,29.3358
373,394,175,28.6554
130,151,175,19.1122
350,370,175,3.32694
196,217,176,27.7303
71,72,176,5.21748
173,194,177,28.3644
195,216,177,27.3219
134,155,178,32.1069
