Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,28-06-2015 0:00,0,11.9,78,7.3,112,92.94,95.61,375.34,5.81,116.82,23.28
JCB,28-06-2015 1:00,0,10.9,76,5.8,83,92.94,95.61,375.34,4.88,116.82,20.56
JCB,28-06-2015 2:00,0,12.3,56,5.8,160,92.94,95.61,375.34,4.76,116.82,20.19
JCB,28-06-2015 3:00,0,11.9,59,17.5,258,92.94,95.61,375.34,8.26,116.82,29.66
