ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1369,202,29,0.856,0.126,0.018
2,1356,215,29,0.848,0.134,0.018
3,1241,330,29,0.776,0.206,0.018
4,1353,218,29,0.846,0.136,0.018
5,1220,351,29,0.762,0.219,0.018
