Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,1570.000,1.000,29.000,0.000,0.000,1570,1,1570,1,0.981,0.001,0.018
2,1559.200,11.800,29.000,8.758,0.000,1570,21,1550,1,0.975,0.007,0.018
3,1530.800,40.200,29.000,27.344,0.000,1570,72,1499,1,0.957,0.025,0.018
4,1500.000,71.000,29.000,34.785,0.000,1551,117,1454,20,0.938,0.044,0.018
5,1453.000,118.000,29.000,31.193,0.000,1488,167,1404,83,0.908,0.074,0.018
6,1411.800,159.200,29.000,32.244,0.000,1436,214,1357,135,0.882,0.099,0.018
7,1367.200,203.800,29.000,41.686,0.000,1406,259,1312,165,0.855,0.127,0.018
8,1307.800,263.200,29.000,71.209,0.000,1369,351,1220,202,0.817,0.164,0.018
