,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,5.000,5.000,5.000,5.000,5.000,5.000,5.000
mean,3.000,1307.800,263.200,29.000,0.817,0.165,0.018
std,1.581,71.209,71.209,0.000,0.045,0.045,0.000
min,1.000,1220.000,202.000,29.000,0.762,0.126,0.018
25%,2.000,1241.000,215.000,29.000,0.776,0.134,0.018
50%,3.000,1353.000,218.000,29.000,0.846,0.136,0.018
75%,4.000,1356.000,330.000,29.000,0.848,0.206,0.018
max,5.000,1369.000,351.000,29.000,0.856,0.219,0.018
