169,188,8,16.654
188,208,14,18.3414
169,189,16,6.01927
208,228,24,10.1464
189,209,30,7.53697
208,229,30,9.10843
228,249,31,23.1585
249,269,39,13.8661
169,168,39,2.52302
229,248,41,13.1113
188,207,43,4.04997
269,289,50,9.95836
249,268,53,6.6067
269,290,56,8.80985
168,187,59,7.28187
289,310,61,15.7861
290,309,63,24.571
310,329,73,12.2445
208,227,77,2.4839
269,270,81,2.54303
168,167,88,2.20465
169,190,90,1.65046
269,288,93,2.78994
190,210,95,21.4855
210,230,103,13.0562
329,350,104,4.61857
229,250,111,1.80929
350,351,113,11.5986
310,331,114,2.71364
169,170,117,0.88731
190,211,120,4.85286
310,311,121,1.82162
350,371,122,8.62066
351,372,125,13.2891
169,148,128,1.29475
211,232,129,16.5017
372,393,131,26.3897
371,392,131,17.3459
228,247,132,1.49188
351,352,133,5.32084
211,231,133,8.20494
170,191,133,9.49701
232,253,134,28.4178
169,149,135,0.839739
350,370,136,3.32694
352,373,139,26.4949
253,274,139,30.8179
191,212,139,25.0668
329,349,140,1.5943
231,251,142,11.3241
373,394,144,28.6554
274,295,144,28.7104
212,233,145,24.4136
231,252,145,11.9962
289,308,145,1.63234
371,391,147,4.11128
251,271,148,19.2433
233,254,150,30.0515
295,316,150,26.1115
252,273,150,32.2161
271,291,153,21.4579
352,353,153,5.08168
273,294,155,29.1178
254,275,155,29.3358
373,374,157,5.6038
212,213,157,5.76188
191,192,158,4.0753
294,315,160,29.5899
251,272,162,7.27896
148,147,162,2.98856
374,395,163,26.7844
213,234,163,25.2726
187,206,166,1.40384
315,336,167,21.0912
234,255,168,28.7079
272,293,168,27.9404
255,276,173,29.4091
316,317,173,4.41373
370,390,173,2.72428
336,357,174,23.0686
315,335,174,7.14313
213,214,175,5.57379
374,375,176,5.35161
167,186,176,1.66989
276,297,178,29.9081
192,193,178,5.24187
