Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,378.000,1.000,21.000,0.000,0.000,378,1,378,1,0.945,0.003,0.052
2,326.733,52.267,21.000,13.729,0.000,351,111,268,28,0.817,0.131,0.052
3,280.031,98.969,21.000,46.892,0.000,316,370,9,63,0.700,0.247,0.052
