ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
3717,314,65,21,0.785,0.163,0.052
3718,306,73,21,0.765,0.182,0.052
3719,301,78,21,0.752,0.195,0.052
3720,303,76,21,0.757,0.190,0.052
3721,292,87,21,0.730,0.217,0.052
3722,296,83,21,0.740,0.207,0.052
3723,267,112,21,0.667,0.280,0.052
3724,312,67,21,0.780,0.168,0.052
3725,277,102,21,0.693,0.255,0.052
3726,270,109,21,0.675,0.273,0.052
3727,294,85,21,0.735,0.212,0.052
3728,257,122,21,0.642,0.305,0.052
3729,195,184,21,0.487,0.460,0.052
3730,305,74,21,0.762,0.185,0.052
3731,307,72,21,0.767,0.180,0.052
3732,292,87,21,0.730,0.217,0.052
3733,294,85,21,0.735,0.212,0.052
3734,204,175,21,0.510,0.438,0.052
3735,309,70,21,0.772,0.175,0.052
3736,291,88,21,0.728,0.220,0.052
3737,257,122,21,0.642,0.305,0.052
3738,294,85,21,0.735,0.212,0.052
3739,298,81,21,0.745,0.203,0.052
3740,292,87,21,0.730,0.217,0.052
3741,294,85,21,0.735,0.212,0.052
3742,315,64,21,0.787,0.160,0.052
3743,294,85,21,0.735,0.212,0.052
3744,303,76,21,0.757,0.190,0.052
3745,305,74,21,0.762,0.185,0.052
3746,306,73,21,0.765,0.182,0.052
3747,135,244,21,0.338,0.610,0.052
3748,297,82,21,0.743,0.205,0.052
3749,314,65,21,0.785,0.163,0.052
3750,309,70,21,0.772,0.175,0.052
3751,313,66,21,0.782,0.165,0.052
3752,280,99,21,0.700,0.247,0.052
3753,281,98,21,0.703,0.245,0.052
3754,296,83,21,0.740,0.207,0.052
3755,118,261,21,0.295,0.652,0.052
3756,314,65,21,0.785,0.163,0.052
3757,296,83,21,0.740,0.207,0.052
3758,314,65,21,0.785,0.163,0.052
3759,309,70,21,0.772,0.175,0.052
3760,301,78,21,0.752,0.195,0.052
3761,86,293,21,0.215,0.733,0.052
3762,298,81,21,0.745,0.203,0.052
3763,314,65,21,0.785,0.163,0.052
3764,266,113,21,0.665,0.282,0.052
3765,124,255,21,0.310,0.637,0.052
3766,230,149,21,0.575,0.372,0.052
3767,292,87,21,0.730,0.217,0.052
3768,291,88,21,0.728,0.220,0.052
3769,312,67,21,0.780,0.168,0.052
3770,290,89,21,0.725,0.223,0.052
3771,314,65,21,0.785,0.163,0.052
3772,189,190,21,0.472,0.475,0.052
3773,314,65,21,0.785,0.163,0.052
3774,306,73,21,0.765,0.182,0.052
3775,314,65,21,0.785,0.163,0.052
3776,294,85,21,0.735,0.212,0.052
3777,294,85,21,0.735,0.212,0.052
3778,248,131,21,0.620,0.328,0.052
3779,297,82,21,0.743,0.205,0.052
3780,303,76,21,0.757,0.190,0.052
3781,140,239,21,0.350,0.598,0.052
3782,305,74,21,0.762,0.185,0.052
3783,132,247,21,0.330,0.618,0.052
3784,315,64,21,0.787,0.160,0.052
3785,306,73,21,0.765,0.182,0.052
3786,290,89,21,0.725,0.223,0.052
3787,124,255,21,0.310,0.637,0.052
3788,130,249,21,0.325,0.623,0.052
3789,284,95,21,0.710,0.237,0.052
3790,314,65,21,0.785,0.163,0.052
3791,312,67,21,0.780,0.168,0.052
3792,296,83,21,0.740,0.207,0.052
3793,305,74,21,0.762,0.185,0.052
3794,295,84,21,0.738,0.210,0.052
3795,313,66,21,0.782,0.165,0.052
3796,297,82,21,0.743,0.205,0.052
3797,305,74,21,0.762,0.185,0.052
3798,278,101,21,0.695,0.253,0.052
3799,313,66,21,0.782,0.165,0.052
3800,307,72,21,0.767,0.180,0.052
3801,293,86,21,0.733,0.215,0.052
3802,290,89,21,0.725,0.223,0.052
3803,292,87,21,0.730,0.217,0.052
3804,294,85,21,0.735,0.212,0.052
3805,309,70,21,0.772,0.175,0.052
3806,86,293,21,0.215,0.733,0.052
3807,314,65,21,0.785,0.163,0.052
3808,301,78,21,0.752,0.195,0.052
3809,174,205,21,0.435,0.512,0.052
3810,312,67,21,0.780,0.168,0.052
3811,294,85,21,0.735,0.212,0.052
3812,300,79,21,0.750,0.198,0.052
3813,296,83,21,0.740,0.207,0.052
3814,161,218,21,0.403,0.545,0.052
3815,92,287,21,0.230,0.718,0.052
3816,300,79,21,0.750,0.198,0.052
3817,316,63,21,0.790,0.158,0.052
3818,278,101,21,0.695,0.253,0.052
3819,275,104,21,0.688,0.260,0.052
3820,284,95,21,0.710,0.237,0.052
3821,305,74,21,0.762,0.185,0.052
3822,271,108,21,0.677,0.270,0.052
3823,306,73,21,0.765,0.182,0.052
3824,305,74,21,0.762,0.185,0.052
3825,290,89,21,0.725,0.223,0.052
3826,306,73,21,0.765,0.182,0.052
3827,266,113,21,0.665,0.282,0.052
3828,291,88,21,0.728,0.220,0.052
3829,309,70,21,0.772,0.175,0.052
3830,306,73,21,0.765,0.182,0.052
3831,294,85,21,0.735,0.212,0.052
3832,296,83,21,0.740,0.207,0.052
3833,292,87,21,0.730,0.217,0.052
3834,314,65,21,0.785,0.163,0.052
3835,290,89,21,0.725,0.223,0.052
3836,296,83,21,0.740,0.207,0.052
3837,299,80,21,0.748,0.200,0.052
3838,298,81,21,0.745,0.203,0.052
3839,314,65,21,0.785,0.163,0.052
3840,306,73,21,0.765,0.182,0.052
3841,300,79,21,0.750,0.198,0.052
3842,300,79,21,0.750,0.198,0.052
3843,266,113,21,0.665,0.282,0.052
3844,297,82,21,0.743,0.205,0.052
3845,280,99,21,0.700,0.247,0.052
3846,305,74,21,0.762,0.185,0.052
3847,300,79,21,0.750,0.198,0.052
3848,314,65,21,0.785,0.163,0.052
3849,278,101,21,0.695,0.253,0.052
3850,305,74,21,0.762,0.185,0.052
3851,292,87,21,0.730,0.217,0.052
3852,308,71,21,0.770,0.177,0.052
3853,286,93,21,0.715,0.233,0.052
3854,290,89,21,0.725,0.223,0.052
3855,291,88,21,0.728,0.220,0.052
3856,292,87,21,0.730,0.217,0.052
3857,294,85,21,0.735,0.212,0.052
3858,281,98,21,0.703,0.245,0.052
3859,275,104,21,0.688,0.260,0.052
3860,292,87,21,0.730,0.217,0.052
3861,273,106,21,0.682,0.265,0.052
3862,161,218,21,0.403,0.545,0.052
3863,306,73,21,0.765,0.182,0.052
3864,314,65,21,0.785,0.163,0.052
3865,301,78,21,0.752,0.195,0.052
3866,294,85,21,0.735,0.212,0.052
3867,314,65,21,0.785,0.163,0.052
3868,293,86,21,0.733,0.215,0.052
3869,309,70,21,0.772,0.175,0.052
3870,312,67,21,0.780,0.168,0.052
3871,301,78,21,0.752,0.195,0.052
3872,228,151,21,0.570,0.378,0.052
3873,172,207,21,0.430,0.517,0.052
3874,314,65,21,0.785,0.163,0.052
3875,314,65,21,0.785,0.163,0.052
3876,258,121,21,0.645,0.302,0.052
3877,290,89,21,0.725,0.223,0.052
3878,306,73,21,0.765,0.182,0.052
3879,290,89,21,0.725,0.223,0.052
3880,290,89,21,0.725,0.223,0.052
3881,292,87,21,0.730,0.217,0.052
3882,305,74,21,0.762,0.185,0.052
3883,309,70,21,0.772,0.175,0.052
3884,291,88,21,0.728,0.220,0.052
3885,306,73,21,0.765,0.182,0.052
3886,283,96,21,0.708,0.240,0.052
3887,314,65,21,0.785,0.163,0.052
3888,296,83,21,0.740,0.207,0.052
3889,306,73,21,0.765,0.182,0.052
3890,294,85,21,0.735,0.212,0.052
3891,292,87,21,0.730,0.217,0.052
3892,271,108,21,0.677,0.270,0.052
3893,294,85,21,0.735,0.212,0.052
3894,305,74,21,0.762,0.185,0.052
3895,124,255,21,0.310,0.637,0.052
3896,308,71,21,0.770,0.177,0.052
3897,273,106,21,0.682,0.265,0.052
3898,298,81,21,0.745,0.203,0.052
3899,122,257,21,0.305,0.642,0.052
3900,204,175,21,0.510,0.438,0.052
3901,292,87,21,0.730,0.217,0.052
3902,307,72,21,0.767,0.180,0.052
3903,278,101,21,0.695,0.253,0.052
3904,277,102,21,0.693,0.255,0.052
3905,301,78,21,0.752,0.195,0.052
3906,311,68,21,0.777,0.170,0.052
3907,312,67,21,0.780,0.168,0.052
3908,300,79,21,0.750,0.198,0.052
3909,292,87,21,0.730,0.217,0.052
3910,147,232,21,0.367,0.580,0.052
3911,299,80,21,0.748,0.200,0.052
3912,291,88,21,0.728,0.220,0.052
3913,314,65,21,0.785,0.163,0.052
3914,301,78,21,0.752,0.195,0.052
3915,281,98,21,0.703,0.245,0.052
3916,290,89,21,0.725,0.223,0.052
3917,300,79,21,0.750,0.198,0.052
3918,214,165,21,0.535,0.412,0.052
3919,297,82,21,0.743,0.205,0.052
3920,306,73,21,0.765,0.182,0.052
3921,314,65,21,0.785,0.163,0.052
3922,265,114,21,0.662,0.285,0.052
3923,305,74,21,0.762,0.185,0.052
3924,291,88,21,0.728,0.220,0.052
3925,306,73,21,0.765,0.182,0.052
3926,217,162,21,0.542,0.405,0.052
3927,289,90,21,0.723,0.225,0.052
3928,157,222,21,0.393,0.555,0.052
3929,294,85,21,0.735,0.212,0.052
3930,293,86,21,0.733,0.215,0.052
3931,234,145,21,0.585,0.362,0.052
3932,303,76,21,0.757,0.190,0.052
3933,314,65,21,0.785,0.163,0.052
3934,315,64,21,0.787,0.160,0.052
3935,315,64,21,0.787,0.160,0.052
3936,293,86,21,0.733,0.215,0.052
3937,314,65,21,0.785,0.163,0.052
3938,307,72,21,0.767,0.180,0.052
3939,292,87,21,0.730,0.217,0.052
3940,309,70,21,0.772,0.175,0.052
3941,312,67,21,0.780,0.168,0.052
3942,76,303,21,0.190,0.757,0.052
3943,301,78,21,0.752,0.195,0.052
3944,290,89,21,0.725,0.223,0.052
3945,314,65,21,0.785,0.163,0.052
3946,267,112,21,0.667,0.280,0.052
3947,281,98,21,0.703,0.245,0.052
3948,306,73,21,0.765,0.182,0.052
3949,304,75,21,0.760,0.188,0.052
3950,257,122,21,0.642,0.305,0.052
3951,314,65,21,0.785,0.163,0.052
3952,176,203,21,0.440,0.507,0.052
3953,314,65,21,0.785,0.163,0.052
3954,305,74,21,0.762,0.185,0.052
3955,258,121,21,0.645,0.302,0.052
3956,306,73,21,0.765,0.182,0.052
3957,303,76,21,0.757,0.190,0.052
3958,217,162,21,0.542,0.405,0.052
3959,307,72,21,0.767,0.180,0.052
3960,309,70,21,0.772,0.175,0.052
3961,301,78,21,0.752,0.195,0.052
3962,290,89,21,0.725,0.223,0.052
3963,280,99,21,0.700,0.247,0.052
3964,292,87,21,0.730,0.217,0.052
3965,248,131,21,0.620,0.328,0.052
3966,314,65,21,0.785,0.163,0.052
3967,303,76,21,0.757,0.190,0.052
3968,309,70,21,0.772,0.175,0.052
3969,205,174,21,0.512,0.435,0.052
3970,314,65,21,0.785,0.163,0.052
3971,299,80,21,0.748,0.200,0.052
3972,309,70,21,0.772,0.175,0.052
3973,267,112,21,0.667,0.280,0.052
3974,280,99,21,0.700,0.247,0.052
3975,312,67,21,0.780,0.168,0.052
3976,300,79,21,0.750,0.198,0.052
3977,314,65,21,0.785,0.163,0.052
3978,292,87,21,0.730,0.217,0.052
3979,108,271,21,0.270,0.677,0.052
3980,307,72,21,0.767,0.180,0.052
3981,230,149,21,0.575,0.372,0.052
3982,234,145,21,0.585,0.362,0.052
3983,266,113,21,0.665,0.282,0.052
3984,294,85,21,0.735,0.212,0.052
3985,297,82,21,0.743,0.205,0.052
3986,294,85,21,0.735,0.212,0.052
3987,290,89,21,0.725,0.223,0.052
3988,312,67,21,0.780,0.168,0.052
3989,314,65,21,0.785,0.163,0.052
3990,290,89,21,0.725,0.223,0.052
3991,314,65,21,0.785,0.163,0.052
3992,246,133,21,0.615,0.333,0.052
3993,166,213,21,0.415,0.532,0.052
3994,257,122,21,0.642,0.305,0.052
3995,277,102,21,0.693,0.255,0.052
3996,138,241,21,0.345,0.603,0.052
3997,306,73,21,0.765,0.182,0.052
3998,297,82,21,0.743,0.205,0.052
3999,312,67,21,0.780,0.168,0.052
4000,241,138,21,0.603,0.345,0.052
4001,314,65,21,0.785,0.163,0.052
4002,307,72,21,0.767,0.180,0.052
4003,157,222,21,0.393,0.555,0.052
4004,314,65,21,0.785,0.163,0.052
4005,293,86,21,0.733,0.215,0.052
4006,290,89,21,0.725,0.223,0.052
4007,292,87,21,0.730,0.217,0.052
4008,296,83,21,0.740,0.207,0.052
4009,314,65,21,0.785,0.163,0.052
4010,297,82,21,0.743,0.205,0.052
4011,293,86,21,0.733,0.215,0.052
4012,274,105,21,0.685,0.263,0.052
4013,296,83,21,0.740,0.207,0.052
4014,296,83,21,0.740,0.207,0.052
4015,303,76,21,0.757,0.190,0.052
4016,246,133,21,0.615,0.333,0.052
4017,301,78,21,0.752,0.195,0.052
4018,305,74,21,0.762,0.185,0.052
4019,283,96,21,0.708,0.240,0.052
4020,281,98,21,0.703,0.245,0.052
4021,294,85,21,0.735,0.212,0.052
4022,292,87,21,0.730,0.217,0.052
4023,299,80,21,0.748,0.200,0.052
4024,303,76,21,0.757,0.190,0.052
4025,284,95,21,0.710,0.237,0.052
4026,284,95,21,0.710,0.237,0.052
4027,296,83,21,0.740,0.207,0.052
4028,217,162,21,0.542,0.405,0.052
4029,301,78,21,0.752,0.195,0.052
4030,300,79,21,0.750,0.198,0.052
4031,303,76,21,0.757,0.190,0.052
4032,300,79,21,0.750,0.198,0.052
4033,297,82,21,0.743,0.205,0.052
4034,294,85,21,0.735,0.212,0.052
4035,314,65,21,0.785,0.163,0.052
4036,281,98,21,0.703,0.245,0.052
4037,204,175,21,0.510,0.438,0.052
4038,314,65,21,0.785,0.163,0.052
4039,314,65,21,0.785,0.163,0.052
4040,312,67,21,0.780,0.168,0.052
4041,290,89,21,0.725,0.223,0.052
4042,299,80,21,0.748,0.200,0.052
4043,294,85,21,0.735,0.212,0.052
4044,306,73,21,0.765,0.182,0.052
4045,291,88,21,0.728,0.220,0.052
4046,312,67,21,0.780,0.168,0.052
4047,281,98,21,0.703,0.245,0.052
4048,309,70,21,0.772,0.175,0.052
4049,309,70,21,0.772,0.175,0.052
4050,314,65,21,0.785,0.163,0.052
4051,307,72,21,0.767,0.180,0.052
4052,301,78,21,0.752,0.195,0.052
4053,158,221,21,0.395,0.552,0.052
4054,278,101,21,0.695,0.253,0.052
4055,159,220,21,0.398,0.550,0.052
4056,292,87,21,0.730,0.217,0.052
4057,291,88,21,0.728,0.220,0.052
4058,305,74,21,0.762,0.185,0.052
4059,278,101,21,0.695,0.253,0.052
4060,289,90,21,0.723,0.225,0.052
4061,301,78,21,0.752,0.195,0.052
4062,311,68,21,0.777,0.170,0.052
4063,310,69,21,0.775,0.172,0.052
4064,300,79,21,0.750,0.198,0.052
4065,278,101,21,0.695,0.253,0.052
4066,296,83,21,0.740,0.207,0.052
4067,312,67,21,0.780,0.168,0.052
4068,294,85,21,0.735,0.212,0.052
4069,306,73,21,0.765,0.182,0.052
4070,281,98,21,0.703,0.245,0.052
4071,266,113,21,0.665,0.282,0.052
4072,296,83,21,0.740,0.207,0.052
4073,314,65,21,0.785,0.163,0.052
4074,308,71,21,0.770,0.177,0.052
4075,314,65,21,0.785,0.163,0.052
4076,296,83,21,0.740,0.207,0.052
4077,299,80,21,0.748,0.200,0.052
4078,307,72,21,0.767,0.180,0.052
4079,277,102,21,0.693,0.255,0.052
4080,307,72,21,0.767,0.180,0.052
4081,315,64,21,0.787,0.160,0.052
4082,248,131,21,0.620,0.328,0.052
4083,281,98,21,0.703,0.245,0.052
4084,166,213,21,0.415,0.532,0.052
4085,300,79,21,0.750,0.198,0.052
4086,290,89,21,0.725,0.223,0.052
4087,303,76,21,0.757,0.190,0.052
4088,290,89,21,0.725,0.223,0.052
4089,312,67,21,0.780,0.168,0.052
4090,291,88,21,0.728,0.220,0.052
4091,128,251,21,0.320,0.627,0.052
4092,257,122,21,0.642,0.305,0.052
4093,306,73,21,0.765,0.182,0.052
4094,313,66,21,0.782,0.165,0.052
4095,293,86,21,0.733,0.215,0.052
4096,312,67,21,0.780,0.168,0.052
4097,306,73,21,0.765,0.182,0.052
4098,295,84,21,0.738,0.210,0.052
4099,140,239,21,0.350,0.598,0.052
4100,222,157,21,0.555,0.393,0.052
4101,308,71,21,0.770,0.177,0.052
4102,305,74,21,0.762,0.185,0.052
4103,270,109,21,0.675,0.273,0.052
4104,314,65,21,0.785,0.163,0.052
4105,314,65,21,0.785,0.163,0.052
4106,291,88,21,0.728,0.220,0.052
4107,315,64,21,0.787,0.160,0.052
4108,312,67,21,0.780,0.168,0.052
4109,309,70,21,0.772,0.175,0.052
4110,143,236,21,0.357,0.590,0.052
4111,306,73,21,0.765,0.182,0.052
4112,197,182,21,0.492,0.455,0.052
4113,300,79,21,0.750,0.198,0.052
4114,312,67,21,0.780,0.168,0.052
4115,280,99,21,0.700,0.247,0.052
4116,301,78,21,0.752,0.195,0.052
4117,280,99,21,0.700,0.247,0.052
4118,314,65,21,0.785,0.163,0.052
4119,277,102,21,0.693,0.255,0.052
4120,307,72,21,0.767,0.180,0.052
4121,298,81,21,0.745,0.203,0.052
4122,296,83,21,0.740,0.207,0.052
4123,314,65,21,0.785,0.163,0.052
4124,266,113,21,0.665,0.282,0.052
4125,294,85,21,0.735,0.212,0.052
4126,296,83,21,0.740,0.207,0.052
4127,271,108,21,0.677,0.270,0.052
4128,287,92,21,0.718,0.230,0.052
4129,292,87,21,0.730,0.217,0.052
4130,290,89,21,0.725,0.223,0.052
4131,258,121,21,0.645,0.302,0.052
4132,292,87,21,0.730,0.217,0.052
4133,147,232,21,0.367,0.580,0.052
4134,312,67,21,0.780,0.168,0.052
4135,290,89,21,0.725,0.223,0.052
4136,296,83,21,0.740,0.207,0.052
4137,273,106,21,0.682,0.265,0.052
4138,280,99,21,0.700,0.247,0.052
4139,294,85,21,0.735,0.212,0.052
4140,312,67,21,0.780,0.168,0.052
4141,303,76,21,0.757,0.190,0.052
4142,248,131,21,0.620,0.328,0.052
4143,298,81,21,0.745,0.203,0.052
4144,280,99,21,0.700,0.247,0.052
4145,298,81,21,0.745,0.203,0.052
4146,300,79,21,0.750,0.198,0.052
4147,305,74,21,0.762,0.185,0.052
4148,306,73,21,0.765,0.182,0.052
4149,294,85,21,0.735,0.212,0.052
4150,306,73,21,0.765,0.182,0.052
4151,292,87,21,0.730,0.217,0.052
4152,314,65,21,0.785,0.163,0.052
4153,241,138,21,0.603,0.345,0.052
4154,294,85,21,0.735,0.212,0.052
4155,294,85,21,0.735,0.212,0.052
4156,290,89,21,0.725,0.223,0.052
4157,316,63,21,0.790,0.158,0.052
4158,312,67,21,0.780,0.168,0.052
4159,305,74,21,0.762,0.185,0.052
4160,303,76,21,0.757,0.190,0.052
4161,316,63,21,0.790,0.158,0.052
4162,300,79,21,0.750,0.198,0.052
4163,305,74,21,0.762,0.185,0.052
4164,298,81,21,0.745,0.203,0.052
4165,280,99,21,0.700,0.247,0.052
4166,303,76,21,0.757,0.190,0.052
4167,201,178,21,0.502,0.445,0.052
4168,299,80,21,0.748,0.200,0.052
4169,296,83,21,0.740,0.207,0.052
4170,314,65,21,0.785,0.163,0.052
4171,312,67,21,0.780,0.168,0.052
4172,294,85,21,0.735,0.212,0.052
4173,305,74,21,0.762,0.185,0.052
4174,300,79,21,0.750,0.198,0.052
4175,273,106,21,0.682,0.265,0.052
4176,306,73,21,0.765,0.182,0.052
4177,294,85,21,0.735,0.212,0.052
4178,261,118,21,0.652,0.295,0.052
4179,272,107,21,0.680,0.268,0.052
4180,280,99,21,0.700,0.247,0.052
4181,300,79,21,0.750,0.198,0.052
4182,88,291,21,0.220,0.728,0.052
4183,300,79,21,0.750,0.198,0.052
4184,312,67,21,0.780,0.168,0.052
4185,214,165,21,0.535,0.412,0.052
4186,247,132,21,0.618,0.330,0.052
4187,299,80,21,0.748,0.200,0.052
4188,298,81,21,0.745,0.203,0.052
4189,293,86,21,0.733,0.215,0.052
4190,257,122,21,0.642,0.305,0.052
4191,300,79,21,0.750,0.198,0.052
4192,292,87,21,0.730,0.217,0.052
4193,314,65,21,0.785,0.163,0.052
4194,290,89,21,0.725,0.223,0.052
4195,305,74,21,0.762,0.185,0.052
4196,143,236,21,0.357,0.590,0.052
4197,301,78,21,0.752,0.195,0.052
4198,228,151,21,0.570,0.378,0.052
4199,288,91,21,0.720,0.228,0.052
4200,309,70,21,0.772,0.175,0.052
4201,301,78,21,0.752,0.195,0.052
4202,306,73,21,0.765,0.182,0.052
4203,280,99,21,0.700,0.247,0.052
4204,149,230,21,0.372,0.575,0.052
4205,263,116,21,0.657,0.290,0.052
4206,301,78,21,0.752,0.195,0.052
4207,300,79,21,0.750,0.198,0.052
