,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,10.000,10.000,10.000,10.000,10.000,10.000,10.000
mean,5.500,237.100,162.900,0.000,0.593,0.407,0.000
std,3.028,126.639,126.639,0.000,0.317,0.317,0.000
min,1.000,110.000,0.000,0.000,0.275,0.000,0.000
25%,3.250,136.500,21.000,0.000,0.341,0.053,0.000
50%,5.500,171.000,229.000,0.000,0.427,0.573,0.000
75%,7.750,379.000,263.500,0.000,0.948,0.659,0.000
max,10.000,400.000,290.000,0.000,1.000,0.725,0.000
