Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,399.200,0.800,0.000,0.422,0.000,400,1,399,0,0.998,0.002,0.000
2,377.600,22.400,0.000,34.964,0.000,400,110,290,0,0.944,0.056,0.000
3,338.000,62.000,0.000,87.994,0.000,400,235,165,0,0.845,0.155,0.000
4,300.600,99.400,0.000,108.380,0.000,400,272,128,0,0.752,0.249,0.000
5,250.500,149.500,0.000,103.264,0.000,399,277,123,1,0.626,0.374,0.000
6,232.625,167.375,0.000,103.344,0.000,399,283,117,1,0.582,0.418,0.000
7,217.000,183.000,0.000,103.269,0.000,399,285,115,1,0.542,0.458,0.000
8,205.250,194.750,0.000,105.465,0.000,399,288,112,1,0.513,0.487,0.000
9,196.375,203.625,0.000,105.557,0.000,399,290,110,1,0.491,0.509,0.000
