Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-10-16 13:00,0.0,17.7,20,21,56,90.5,43,259,13.4,60,29.9
JCB,2001-10-16 14:00,0.0,16.9,18,25,56,91.2,43,259,17.9,60,36.3
