,ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
count,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000
mean,2500.500,344.151,43.849,12.000,0.860,0.110,0.030
std,1443.520,28.287,28.287,0.000,0.071,0.071,0.000
min,1.000,259.000,0.000,12.000,0.647,0.000,0.030
25%,1250.750,322.000,25.000,12.000,0.805,0.062,0.030
50%,2500.500,345.000,43.000,12.000,0.863,0.107,0.030
75%,3750.250,363.000,66.000,12.000,0.907,0.165,0.030
max,5000.000,388.000,129.000,12.000,0.970,0.323,0.030
