290,289,5,18.3394
290,309,19,7.16829
289,288,21,6.51077
289,308,23,8.26296
309,310,45,3.90643
289,268,47,3.43116
288,269,48,5.30518
309,329,50,3.25137
309,330,62,3.73441
268,249,79,4.73055
289,270,80,2.10446
329,349,88,2.72908
249,248,91,8.74334
329,350,94,3.36189
349,369,122,3.20509
349,370,129,3.72599
248,229,130,3.99036
248,228,132,2.6816
248,267,133,3.71281
248,247,133,2.58961
349,368,133,3.37678
369,389,140,5.71979
369,388,143,6.92963
368,387,151,8.02313
350,351,151,1.85132
369,390,152,4.83561
368,367,153,5.15608
308,307,154,0.839255
248,227,155,2.33067
350,331,156,2.3963
288,287,159,0.794684
370,371,161,3.16056
290,291,171,0.624746
370,391,172,3.32393
227,208,174,7.81137
367,386,175,6.69313
